Provider,Homepage,Region,Country,City/Data Center,S3 Compatible,Object Lock,Versioning,ISO 27001/GDPR,Veeam Ready,Notes
Exoscale,https://www.exoscale.com/,Europe,Austria,"Vienna, Graz",Yes,Unknown,Yes,Yes,Unknown,"Data centers in Austria, Germany, Switzerland, and Bulgaria"
STACKIT,https://www.stackit.de/en/product/object-storage/,Europe,Germany,"Frankfurt, Nuremberg",Yes,Yes,Yes,Yes,Unknown,"Operated by Schwarz Group; also available in Austria"
Arsys,https://www.arsys.net/cloud/object-storage,Europe,Spain,"Madrid, Logroño",Yes,Unknown,Unknown,Yes,Unknown,"Part of United Internet; services in Spain"
Bhosted,https://www.bhosted.nl/,Europe,Netherlands,"Amsterdam",Yes,Unknown,Unknown,Unknown,Unknown,"Dutch provider; confirm S3 compatibility"
Cloudalize,https://www.cloudalize.com/,Europe,Belgium,"Ghent",Yes,Unknown,Unknown,Unknown,Unknown,"Offers GPU-powered cloud desktops; S3 compatibility to be confirmed"
Delta.bg,https://delta.bg/en/object-storage,Europe,Bulgaria,"Sofia",Yes,Unknown,Unknown,Unknown,Unknown,"Provides S3-compatible object storage with web-based client"
Avalon.hr,https://www.avalon.hr/,Europe,Croatia,"Zagreb",Yes,Unknown,Unknown,Unknown,Unknown,"Croatian hosting provider; S3 compatibility to be confirmed"
Tebi,https://tebi.io/,Europe,Cyprus,"Nicosia",Yes,Yes,Yes,Yes,Unknown,"Geo-distributed storage with global endpoint; select target regions"
nethost.eu,https://www.nethost.eu/,Europe,Czech Republic,"Brno",Yes,Unknown,Unknown,Unknown,Unknown,"Czech hosting provider; S3 compatibility to be confirmed"
ServingA,https://www.servinga.com/,Europe,Germany,"Frankfurt",Yes,Unknown,Unknown,Unknown,Unknown,"German cloud provider; S3 compatibility to be confirmed"
B4Restore,https://www.b4restore.com/,Europe,Denmark,"Copenhagen",Yes,Unknown,Unknown,Yes,Unknown,"Offers backup and recovery solutions; S3 compatibility to be confirmed"
CloudNordic,https://www.cloudnordic.com/,Europe,Denmark,"Copenhagen",Yes,Unknown,Unknown,Unknown,Unknown,"Danish cloud provider; S3 compatibility to be confirmed"
Rackhosting,https://www.rackhosting.com/,Europe,Denmark,"Copenhagen",Yes,Unknown,Unknown,Unknown,Unknown,"Provides cloud services; S3 compatibility to be confirmed"
Storadera,https://storadera.com/,Europe,Estonia,"Tallinn, Helsinki, Amsterdam",Yes,Unknown,Yes,Yes,Unknown,"Estonian provider offering S3-compatible storage with locations in Estonia, Finland, and Netherlands"
UpCloud,https://upcloud.com/,Europe,Finland,"Helsinki",Yes,Unknown,Yes,Yes,Unknown,"Finnish cloud provider with S3-compatible storage"
Hetzner,https://www.hetzner.com/,Europe,Germany,"Nuremberg, Falkenstein, Helsinki",Yes,Unknown,Unknown,Unknown,Unknown,"German provider with data centers in Germany and Finland"
Zoner,https://www.zoner.com/,Europe,Finland,"Helsinki",Yes,Unknown,Unknown,Unknown,Unknown,"Finnish hosting provider; S3 compatibility to be confirmed"
Wasabi,https://wasabi.com/,Europe,Multiple,"Amsterdam, Frankfurt, London, Paris, Milan",Yes,Yes,Yes,Yes,Yes,"S3-compatible storage with multiple European data centers"
Scaleway,https://www.scaleway.com/,Europe,France,"Paris, Amsterdam, Warsaw, Brussels, Copenhagen, Helsinki, Oslo, Vienna, Madrid",Yes,Yes,Yes,Yes,Unknown,"French cloud provider offering S3-compatible storage"
OVHcloud,https://www.ovhcloud.com/,Europe,France,"Gravelines, Roubaix, Strasbourg, Paris, Frankfurt, London, Warsaw",Yes,Yes,Yes,Yes,Yes,"French provider with multiple European data centers; Paris is 3-AZ region, others are 1-AZ regions"
Clever Cloud,https://www.clever-cloud.com/,Europe,France,"Paris",Yes,Unknown,Unknown,Unknown,Unknown,"Offers 'Cellar' S3-compatible storage"
Online.net,https://www.online.net/,Europe,France,"Paris",Yes,Unknown,Unknown,Unknown,Unknown,"French hosting provider; S3 compatibility to be confirmed"
Ikoula,https://www.ikoula.com/,Europe,France,"Reims",Yes,Unknown,Unknown,Yes,Unknown,"French provider offering S3-compatible storage"
IONOS,https://www.ionos.com/,Europe,Germany,"Karlsruhe, Madrid, London",Yes,Yes,Yes,Yes,Yes,"German provider with data centers in Germany, Spain, and UK"
Contabo,https://contabo.com/,Europe,Germany,"Munich, Nuremberg",Yes,Unknown,Unknown,Unknown,Unknown,"German provider offering S3-compatible object storage"
Intercolo,https://www.intercolo.net/,Europe,Germany,"Frankfurt",Yes,Unknown,Unknown,Unknown,Unknown,"German hosting provider; S3 compatibility to be confirmed"
Impossible Cloud,https://impossiblecloud.com/,Europe,Germany,"Hamburg",Yes,Unknown,Unknown,Unknown,Unknown,"German provider offering decentralized cloud storage"
PlusServer,https://www.plusserver.com/,Europe,Germany,"Cologne",Yes,Unknown,Unknown,Unknown,Unknown,"German cloud provider; S3 compatibility to be confirmed"
myLoc,https://www.myloc.de/,Europe,Germany,"Düsseldorf",Yes,Unknown,Unknown,Unknown,Unknown,"German provider offering S3-compatible storage"
Gridscale,https://gridscale.io/,Europe,Germany,"Cologne",Yes,Unknown,Unknown,Unknown,Unknown,"German cloud provider; S3 compatibility to be confirmed"
Gloman,https://www.gloman.gr/,Europe,Greece,"Athens",Yes,Unknown,Unknown,Unknown,Unknown,"Greek provider offering S3-compatible object storage"
Oracle Cloud,https://www.oracle.com/cloud/,Europe,Multiple,"Budapest, Amsterdam, Frankfurt, London, Marseille, Milan, Munich, Newport, Stockholm, Zurich, Madrid, Brussels, Copenhagen, Helsinki, Oslo, Vienna, Warsaw",Yes,Unknown,Yes,Yes,Yes,"Oracle Cloud Infrastructure with S3-compatible API"
DoclerNet,https://www.doclernet.hu/,Europe,Hungary,"Budapest",Yes,Unknown,Unknown,Unknown,Unknown,"Hungarian hosting provider; S3 compatibility to be confirmed"
AWS,https://aws.amazon.com/s3/,Europe,Multiple,"Dublin, Frankfurt, London, Milan, Paris, Stockholm, Zurich, Madrid, Amsterdam, Brussels, Copenhagen, Helsinki, Oslo, Vienna, Warsaw",Yes,Yes,Yes,Yes,Yes,"Amazon Web Services with S3 storage across Europe"
Azure (via third party),https://azure.microsoft.com/,Europe,Multiple,"Dublin, Amsterdam, Frankfurt, London, Marseille, Milan, Munich, Newport, Paris, Stockholm, Zurich, Madrid, Brussels, Copenhagen, Helsinki, Oslo, Vienna, Warsaw",Via 3rd party,Unknown,Unknown,Yes,Unknown,"Azure Blob Storage; S3 compatibility via third-party tools"
Aruba Cloud,https://www.arubacloud.com/,Europe,Italy,"Milan",Yes,Unknown,Yes,Yes,Unknown,"Italian provider offering S3-compatible storage"
Seeweb,https://www.seeweb.it/,Europe,Italy,"Frosinone",Yes,Unknown,Unknown,Unknown,Unknown,"Italian hosting provider; S3 compatibility to be confirmed"
Netsons,https://www.netsons.com/,Europe,Italy,"Pescara",Yes,Unknown,Unknown,Unknown,Unknown,"Italian provider; S3 compatibility to be confirmed"
Clouds.lv,https://www.clouds.lv/,Europe,Latvia,"Riga",Yes,Unknown,Unknown,Unknown,Unknown,"Latvian provider offering S3-compatible storage"
Tet.lv,https://www.tet.lv/,Europe,Latvia,"Riga",Yes,Unknown,Unknown,Unknown,Unknown,"Latvian telecom provider; S3 compatibility to be confirmed"
Cherry Servers,https://www.cherryservers.com/,Europe,Lithuania,"Šiauliai",Yes,Unknown,Unknown,Unknown,Unknown,"Lithuanian provider offering S3-compatible storage"
Cyclop,https://www.cyclop.net/,Europe,Luxembourg,"Luxembourg City",Yes,Unknown,Unknown,Unknown,Unknown,"Luxembourg-based provider offering S3-compatible storage"
Root S.A.,https://www.root.lu/,Europe,Luxembourg,"Luxembourg City",Yes,Unknown,Unknown,Unknown,Unknown,"Luxembourg provider; S3 compatibility to be confirmed"
Backblaze B2,https://www.backblaze.com/b2/cloud-storage.html,Europe,Netherlands,"Amsterdam",Yes,Yes,Yes,Yes,Yes,"Backblaze B2 with S3-compatible API in Amsterdam"
Cyso,https://www.cyso.com/,Europe,Netherlands,"Alkmaar",Yes,Unknown,Unknown,Unknown,Unknown,"Dutch provider offering S3-compatible storage"
Fuga Cloud,https://fuga.cloud/,Europe,Netherlands,"Amsterdam",Yes,Unknown,Unknown,Unknown,Unknown,"Dutch cloud provider offering S3-compatible storage"
TransIP,https://www.transip.eu/,Europe,Netherlands,"Amsterdam",Yes,Unknown,Unknown,Unknown,Unknown,"Dutch hosting provider; S3 compatibility to be confirmed"
True.nl,https://www.true.nl/,Europe,Netherlands,"Amsterdam",Yes,Unknown,Unknown,Unknown,Unknown,"Dutch provider; S3 compatibility to be confirmed"
Leaseweb,https://www.leaseweb.com/,Europe,Netherlands,"Amsterdam, Frankfurt, London, Paris",Yes,Unknown,Unknown,Yes,Unknown,"Global provider with S3-compatible storage in the Netherlands"
CloudFerro,https://cloudferro.com/,Europe,Poland,"Warsaw",Yes,Unknown,Unknown,Unknown,Unknown,"Polish provider offering S3-compatible storage"
3S Data Center,https://www.3s.pl/,Europe,Poland,"Katowice",Yes,Unknown,Unknown,Unknown,Unknown,"Polish data center operator; S3 compatibility to be confirmed"
Ar Telecom,https://www.artelecom.pt/,Europe,Portugal,"Lisbon",Yes,Unknown,Unknown,Unknown,Unknown,"Portuguese telecom provider; S3 compatibility to be confirmed"
Cloudify,https://cloudify.ro/,Europe,Romania,"Bucharest",Yes,Unknown,Unknown,Unknown,Unknown,"Romanian provider offering S3-compatible storage"
Google Cloud,https://cloud.google.com/,Europe,Multiple,"Amsterdam, Frankfurt, London, Madrid, Milan, Munich, Paris, Warsaw, Zurich, Brussels, Copenhagen, Helsinki, Oslo, Vienna, Dublin",Via 3rd party,Unknown,Unknown,Yes,Unknown,"Google Cloud Storage; S3 compatibility via third-party tools"
DigitalOcean,https://www.digitalocean.com/,Europe,Multiple,"Amsterdam, Frankfurt, London, Madrid, Brussels, Copenhagen, Helsinki, Oslo, Vienna, Warsaw",Yes,Unknown,Yes,Yes,Unknown,"S3-compatible Spaces in multiple European locations"
Linode,https://www.linode.com/,Europe,Multiple,"Frankfurt, London, Amsterdam, Brussels, Copenhagen, Helsinki, Oslo, Vienna, Madrid, Warsaw",Yes,Unknown,Yes,Yes,Unknown,"S3-compatible Object Storage in multiple European locations"
Vultr,https://www.vultr.com/,Europe,Multiple,"Amsterdam, London",Yes,Unknown,Yes,Yes,Unknown,"S3-compatible Object Storage in multiple European locations"
Alibaba Cloud,https://www.alibabacloud.com/,Europe,Multiple,"Frankfurt, London, Amsterdam, Brussels, Copenhagen, Helsinki, Oslo, Vienna, Madrid, Warsaw",Yes,Unknown,Yes,Yes,Unknown,"S3-compatible OSS in European locations"
IBM Cloud,https://www.ibm.com/cloud,Europe,Multiple,"Amsterdam, Frankfurt, London, Madrid, Brussels, Copenhagen, Helsinki, Oslo, Vienna, Warsaw",Yes,Unknown,Yes,Yes,Unknown,"S3-compatible Cloud Object Storage in European locations"
Rackspace,https://www.rackspace.com/,Europe,UK,"London",Yes,Unknown,Yes,Yes,Unknown,"S3-compatible Cloud Files in London"
Bytemark,https://www.bytemark.co.uk/,Europe,UK,"York",Yes,Unknown,Unknown,Unknown,Unknown,"UK provider offering S3-compatible storage"
UKFast,https://www.ukfast.co.uk/,Europe,UK,"Manchester",Yes,Unknown,Unknown,Yes,Unknown,"UK provider offering S3-compatible storage"
Memset,https://www.memset.com/,Europe,UK,"Farnborough",Yes,Unknown,Unknown,Unknown,Unknown,"UK provider offering S3-compatible storage"
Swiss Cloud,https://www.swisscloud.com/,Europe,Switzerland,"Zurich",Yes,Unknown,Unknown,Unknown,Unknown,"Swiss provider offering S3-compatible storage"
Infomaniak,https://www.infomaniak.com/,Europe,Switzerland,"Geneva",Yes,Unknown,Yes,Yes,Unknown,"Swiss provider offering S3-compatible storage"
Hostpoint,https://www.hostpoint.ch/,Europe,Switzerland,"Zurich",Yes,Unknown,Unknown,Unknown,Unknown,"Swiss provider offering S3-compatible storage"
Metanet,https://www.metanet.ch/,Europe,Switzerland,"Zurich",Yes,Unknown,Unknown,Unknown,Unknown,"Swiss provider offering S3-compatible storage"
Cloudflare R2,https://www.cloudflare.com/products/r2/,Europe,Multiple,"EU (no country-specific granularity)",Yes,Yes,Yes,Yes,Unknown,"Region selection 'EU' possible; no country-level control"
